nyt,The New York Times,www.nyt.com,USA
lat,Los Angeles Times,www.latimes.com,USA
wsj,The Wall Street Journal,online.wsj.com/home-page,USA
cnn,CNN,us.cnn.com/?hpt=ed_US,USA
alj,Al Jazeera,www.aljazeera.com,Mid. East
teh,Tehran Times,www.tehrantimes.com,Mid. East
pal,Palestine Chronicle,www.palestinechronicle.com,Mid. East
egy,Daily News Egypt,www.dailynewsegypt.com,Mid. East
haa,Haaretz,www.haaretz.com,Mid. East
tur,Hurriyet Daily News,www.hurriyetdailynews.com,Mid. East
afr,Afrol News,www.afrol.com,Africa
s24,News24,www.news24.com,Africa
nig,Vanguard News,www.vanguardngr.com,Africa
all,allAfrica,www.allafrica.com,Africa
bbc,BBC,www.bbc.com,Europe
spi,Spiegel,www.spiegel.de/international,Europe
elp,El Pais,www.elpais.com/elpais/inenglish.html,Europe
fra,France 24,www.france24.com/en,Europe
ita,ANSA,www.ansa.it/english,Europe
ptn,The Portugal News,www.theportugalnews.com,Europe
chd,China Daily Asia,www.chinadailyasia.com,Asia
toi,The Times of India,timesofindia.indiatimes.com,Asia
jap,Japan Times,www.japantimes.co.jp,Asia
ind,Daily Indonesia,www.dailyindonesia.com,Asia
daw,DAWN,www.dawn.com,Asia
sin,The Straits Times,www.straitstimes.com,Asia
nau,NewsComAu,www.news.com.au,Australia
aau,ABC News,www.abc.net.au/news,Australia
rio,The Rio Times,www.riotimesonline.com,Latin Amer.
pla,Prensa Latina,www.plenglish.com,Latin Amer.
msu,MercoPress,en.mercopress.com,Latin Amer.
arg,Buenos Aires Herald,www.buenosairesherald.com,Latin Amer.
mex,The News,www.thenews.com.mx,Latin Amer.
chi,The Santiago Times,www.santiagotimes.cl,Latin Amer.
pra,Pravda,english.pravda.ru,Russia
stp,The St. Petersburg Times,www.sptimes.ru,Russia
